Product Type: Litetrack LR
Product ID: 80385
Firmware Version: V8.99.0

GMT Time,X,Y,Z,Temperature [C]
2020-09-16 9:31:28 AM,-1,1,-22,11.0
2020-09-16 9:31:30 AM,-5,1,-23,11.0
2020-09-16 9:31:32 AM,-1,1,-23,11.0
2020-09-16 9:31:34 AM,-5,2,-22,11.0
2020-09-16 9:31:36 AM,-4,2,-22,11.0
2020-09-16 9:31:38 AM,-4,2,-22,11.0
2020-09-16 9:31:40 AM,-6,3,-22,11.0
2020-09-16 9:31:42 AM,-1,0,-24,11.0
2020-09-16 9:31:44 AM,-4,3,-24,11.0
2020-09-16 9:31:46 AM,-6,3,-20,11.0
2020-09-16 9:31:48 AM,-4,-2,-26,11.0
2020-09-16 9:31:50 AM,-3,-1,-23,11.0
2020-09-16 9:31:52 AM,-4,4,-23,11.0
2020-09-16 9:31:54 AM,-5,2,-21,11.0
2020-09-16 9:31:56 AM,-7,2,-23,11.0
2020-09-16 9:31:58 AM,-4,3,-21,11.0
2020-09-16 9:32:00 AM,-5,3,-22,11.0
2020-09-16 9:32:02 AM,-6,2,-22,11.0
2020-09-16 9:32:04 AM,-7,3,-20,11.0
2020-09-16 9:32:06 AM,-4,5,-21,11.0
2020-09-16 9:32:08 AM,-2,2,-22,11.0
2020-09-16 9:32:10 AM,-5,3,-25,11.0
2020-09-16 9:32:12 AM,-4,0,-24,11.0
2020-09-16 9:32:14 AM,-2,0,-23,11.0
2020-09-16 9:32:16 AM,-4,2,-23,11.0
2020-09-16 9:32:18 AM,-5,2,-22,11.0
2020-09-16 9:32:20 AM,-5,3,-22,11.0
2020-09-16 9:32:22 AM,-5,3,-23,11.0
2020-09-16 9:32:24 AM,0,3,-22,11.0
2020-09-16 9:32:26 AM,-3,2,-23,11.0
2020-09-16 9:32:28 AM,-2,4,-22,11.0
2020-09-16 9:32:30 AM,-1,2,-22,11.0
2020-09-16 9:32:32 AM,-2,2,-23,11.0
2020-09-16 9:32:34 AM,-4,1,-22,11.0
2020-09-16 9:32:36 AM,-4,4,-24,11.0
2020-09-16 9:32:38 AM,-6,1,-22,11.0
2020-09-16 9:32:40 AM,-5,2,-21,11.0
2020-09-16 9:32:42 AM,-6,4,-21,11.0
2020-09-16 9:32:44 AM,-6,2,-22,11.0
2020-09-16 9:32:46 AM,-6,2,-21,11.0
2020-09-16 9:32:48 AM,-4,3,-23,11.0
2020-09-16 9:32:50 AM,-4,0,-23,11.0
2020-09-16 9:32:52 AM,-5,3,-25,11.0
2020-09-16 9:32:54 AM,-4,3,-22,11.0
2020-09-16 9:32:56 AM,-1,4,-22,11.0
2020-09-16 9:32:58 AM,-3,5,-23,11.0
2020-09-16 9:33:00 AM,-4,2,-24,11.0
2020-09-16 9:33:02 AM,-2,5,-22,11.0
2020-09-16 9:33:04 AM,-5,4,-22,11.0
2020-09-16 9:33:06 AM,-5,3,-24,11.0
2020-09-16 9:33:08 AM,-2,2,-21,11.0
2020-09-16 9:33:10 AM,-1,2,-22,11.0
2020-09-16 9:33:12 AM,-5,3,-22,11.0
2020-09-16 9:33:14 AM,-7,4,-23,11.0
2020-09-16 9:33:16 AM,-2,-1,-21,11.0
2020-09-16 9:33:18 AM,0,-3,-23,11.0
2020-09-16 9:33:20 AM,-3,-7,-23,11.0
2020-09-16 9:33:22 AM,-3,1,-22,11.0
2020-09-16 9:33:24 AM,-4,3,-23,11.0
2020-09-16 9:33:26 AM,-4,2,-22,11.0
2020-09-16 9:33:28 AM,-5,6,-22,11.0
2020-09-16 9:33:30 AM,-2,3,-24,11.0
2020-09-16 9:33:32 AM,-4,1,-22,11.0
2020-09-16 9:33:34 AM,-2,3,-24,11.0
2020-09-16 9:33:36 AM,-4,6,-22,11.0
2020-09-16 9:33:38 AM,-7,5,-22,11.0
2020-09-16 9:33:40 AM,-4,4,-23,11.0
2020-09-16 9:33:42 AM,-1,6,-22,11.0
2020-09-16 9:33:44 AM,-2,1,-22,11.0
2020-09-16 9:33:46 AM,-1,2,-23,10.5
2020-09-16 9:33:48 AM,-3,4,-23,10.5
2020-09-16 9:33:50 AM,-6,3,-21,10.5
2020-09-16 9:33:52 AM,-2,3,-23,10.5
2020-09-16 9:33:54 AM,-3,4,-22,10.5
2020-09-16 9:33:56 AM,-2,6,-23,10.5
2020-09-16 9:33:58 AM,-4,5,-23,10.5
2020-09-16 9:34:00 AM,-3,6,-22,10.5
2020-09-16 9:34:02 AM,-4,4,-23,10.5
2020-09-16 9:34:04 AM,-7,8,-22,10.5
2020-09-16 9:34:06 AM,-6,6,-22,10.5
2020-09-16 9:34:08 AM,-6,7,-22,10.5
2020-09-16 9:34:10 AM,-4,5,-21,10.5
2020-09-16 9:34:12 AM,-6,5,-22,10.5
2020-09-16 9:34:14 AM,-4,3,-24,10.5
2020-09-16 9:34:16 AM,-8,6,-21,11.0
2020-09-16 9:34:18 AM,-5,4,-23,11.0
2020-09-16 9:34:20 AM,-3,4,-23,11.0
2020-09-16 9:34:22 AM,-3,4,-23,11.0
2020-09-16 9:34:24 AM,-2,5,-23,11.0
2020-09-16 9:34:26 AM,0,3,-23,11.0
2020-09-16 9:34:28 AM,-2,4,-22,11.0
2020-09-16 9:34:30 AM,-5,7,-22,11.0
2020-09-16 9:34:32 AM,0,3,-22,11.0
2020-09-16 9:34:34 AM,-6,7,-19,11.0
2020-09-16 9:34:36 AM,-7,5,-22,11.0
2020-09-16 9:34:38 AM,-6,4,-21,11.0
2020-09-16 9:34:40 AM,-1,3,-23,11.0
2020-09-16 9:34:42 AM,-3,4,-22,11.0
2020-09-16 9:34:44 AM,-4,4,-22,11.0
2020-09-16 9:34:46 AM,-4,5,-22,10.5
2020-09-16 9:34:48 AM,-3,2,-21,10.5
2020-09-16 9:34:50 AM,-2,3,-23,10.5
2020-09-16 9:34:52 AM,-2,-1,-22,10.5
2020-09-16 9:34:54 AM,-1,1,-23,10.5
2020-09-16 9:34:56 AM,-3,3,-24,10.5
2020-09-16 9:34:58 AM,-4,3,-22,10.5
2020-09-16 9:35:00 AM,-2,4,-25,10.5
2020-09-16 9:35:02 AM,-2,5,-23,10.5
2020-09-16 9:35:04 AM,0,0,-24,10.5
2020-09-16 9:35:06 AM,-1,3,-23,10.5
2020-09-16 9:35:08 AM,-4,3,-22,10.5
2020-09-16 9:35:10 AM,-3,2,-22,10.5
2020-09-16 9:35:12 AM,-7,5,-22,10.5
2020-09-16 9:35:14 AM,-2,3,-23,10.5
2020-09-16 9:35:16 AM,-1,6,-21,10.5
2020-09-16 9:35:18 AM,-4,6,-21,10.5
2020-09-16 9:35:20 AM,-6,5,-22,10.5
2020-09-16 9:35:22 AM,-5,4,-21,10.5
2020-09-16 9:35:24 AM,0,3,-22,10.5
2020-09-16 9:35:26 AM,-3,4,-22,10.5
2020-09-16 9:35:28 AM,-1,7,-22,10.5
2020-09-16 9:35:30 AM,-2,5,-22,10.5
2020-09-16 9:35:32 AM,-4,5,-22,10.5
2020-09-16 9:35:34 AM,-4,7,-22,10.5
2020-09-16 9:35:36 AM,-4,3,-24,10.5
2020-09-16 9:35:38 AM,-1,3,-24,10.5
2020-09-16 9:35:40 AM,-5,5,-22,10.5
2020-09-16 9:35:42 AM,-4,5,-22,10.5
2020-09-16 9:35:44 AM,-4,5,-22,10.5
2020-09-16 9:35:46 AM,-4,5,-21,10.5
2020-09-16 9:35:48 AM,-6,4,-21,10.5
2020-09-16 9:35:50 AM,-4,5,-23,10.5
2020-09-16 9:35:52 AM,-4,3,-21,10.5
2020-09-16 9:35:54 AM,-3,2,-22,10.5
2020-09-16 9:35:56 AM,0,1,-22,10.5
2020-09-16 9:35:58 AM,-1,3,-23,10.5
2020-09-16 9:36:00 AM,-3,2,-23,10.5
2020-09-16 9:36:02 AM,-7,6,-21,10.5
2020-09-16 9:36:04 AM,-1,1,-22,10.5
2020-09-16 9:36:06 AM,-2,1,-23,10.5
2020-09-16 9:36:08 AM,-2,4,-19,10.5
2020-09-16 9:36:10 AM,-8,4,-21,10.5
2020-09-16 9:36:12 AM,-3,2,-24,10.5
2020-09-16 9:36:14 AM,0,1,-23,10.5
2020-09-16 9:36:16 AM,-5,4,-24,10.5
2020-09-16 9:36:18 AM,-4,2,-23,10.5
2020-09-16 9:36:20 AM,1,1,-24,10.5
2020-09-16 9:36:22 AM,-3,4,-23,10.5
2020-09-16 9:36:24 AM,-2,3,-23,10.5
2020-09-16 9:36:26 AM,-3,4,-21,10.5
2020-09-16 9:36:28 AM,-3,3,-23,10.5
2020-09-16 9:36:30 AM,-1,1,-22,10.5
2020-09-16 9:36:32 AM,-8,6,-22,10.5
2020-09-16 9:36:34 AM,-4,5,-22,10.5
2020-09-16 9:36:36 AM,-2,0,-21,10.5
2020-09-16 9:36:38 AM,-3,4,-23,10.5
2020-09-16 9:36:40 AM,-2,3,-22,10.5
2020-09-16 9:36:42 AM,-6,6,-21,10.5
2020-09-16 9:36:44 AM,-4,3,-21,10.5
2020-09-16 9:36:46 AM,-5,5,-21,10.5
2020-09-16 9:36:48 AM,-3,5,-24,10.5
2020-09-16 9:36:50 AM,-4,6,-22,10.5
2020-09-16 9:36:52 AM,-8,4,-22,10.5
2020-09-16 9:36:54 AM,-4,4,-22,10.5
2020-09-16 9:36:56 AM,-1,1,-22,10.5
2020-09-16 9:36:58 AM,-1,3,-23,10.5
2020-09-16 9:37:00 AM,-2,3,-24,10.5
2020-09-16 9:37:02 AM,-3,2,-23,10.5
2020-09-16 9:37:04 AM,-4,3,-24,10.5
2020-09-16 9:37:06 AM,-2,4,-24,10.5
2020-09-16 9:37:08 AM,-5,4,-22,10.5
2020-09-16 9:37:10 AM,-2,3,-23,10.5
2020-09-16 9:37:12 AM,0,2,-23,10.5
2020-09-16 9:37:14 AM,-1,2,-23,10.5
2020-09-16 9:37:16 AM,-6,4,-22,10.5
2020-09-16 9:37:18 AM,-3,4,-21,10.5
2020-09-16 9:37:20 AM,-6,3,-21,10.5
2020-09-16 9:37:22 AM,-1,3,-22,10.5
2020-09-16 9:37:24 AM,-2,4,-23,10.5
2020-09-16 9:37:26 AM,-4,4,-22,10.5
2020-09-16 9:37:28 AM,-5,4,-23,10.5
2020-09-16 9:37:30 AM,-4,3,-22,10.5
2020-09-16 9:37:32 AM,-4,-2,-24,10.5
2020-09-16 9:37:34 AM,-4,4,-23,10.5
2020-09-16 9:37:36 AM,-3,5,-23,10.5
2020-09-16 9:37:38 AM,-5,4,-22,10.5
2020-09-16 9:37:40 AM,-6,4,-23,10.5
2020-09-16 9:37:42 AM,-5,4,-22,10.5
2020-09-16 9:37:44 AM,-6,5,-22,10.5
2020-09-16 9:37:46 AM,-3,3,-23,10.5
2020-09-16 9:37:48 AM,-6,4,-24,10.5
2020-09-16 9:37:50 AM,-5,6,-21,10.5
2020-09-16 9:37:52 AM,-5,4,-23,10.5
2020-09-16 9:37:54 AM,0,2,-24,10.5
2020-09-16 9:37:56 AM,-1,3,-23,10.5
2020-09-16 9:37:58 AM,-2,3,-23,10.5
2020-09-16 9:38:00 AM,-3,3,-22,10.5
2020-09-16 9:38:02 AM,-4,5,-23,10.5
2020-09-16 9:38:04 AM,-5,3,-23,10.5
2020-09-16 9:38:06 AM,-2,2,-23,10.5
2020-09-16 9:38:08 AM,-5,5,-22,10.5
2020-09-16 9:38:10 AM,-3,4,-17,10.5
2020-09-16 9:38:12 AM,0,0,-23,10.5
2020-09-16 9:38:14 AM,-2,4,-23,10.5
2020-09-16 9:38:16 AM,-3,4,-22,10.5
2020-09-16 9:38:18 AM,-2,6,-22,10.5
2020-09-16 9:38:20 AM,-4,4,-22,10.5
2020-09-16 9:38:22 AM,-4,3,-23,10.5
2020-09-16 9:38:24 AM,-5,7,-23,10.5
2020-09-16 9:38:26 AM,-4,4,-22,10.5
2020-09-16 9:38:28 AM,-3,3,-21,10.5
2020-09-16 9:38:30 AM,-3,4,-22,10.5
2020-09-16 9:38:32 AM,-4,6,-22,10.5
2020-09-16 9:38:34 AM,-6,5,-21,10.5
2020-09-16 9:38:36 AM,-3,1,-22,10.5
2020-09-16 9:38:38 AM,-6,5,-22,10.5
2020-09-16 9:38:40 AM,-6,7,-23,10.5
2020-09-16 9:38:42 AM,1,4,-21,10.5
2020-09-16 9:38:44 AM,-3,4,-23,10.5
2020-09-16 9:38:46 AM,-4,3,-20,10.5
2020-09-16 9:38:48 AM,-4,4,-23,10.5
2020-09-16 9:38:50 AM,-5,5,-23,10.5
2020-09-16 9:38:52 AM,-4,0,-23,10.5
2020-09-16 9:38:54 AM,-1,1,-23,10.5
2020-09-16 9:38:56 AM,-3,4,-23,10.5
2020-09-16 9:38:58 AM,-6,7,-23,10.5
2020-09-16 9:39:00 AM,-3,4,-22,10.5
2020-09-16 9:39:02 AM,-7,3,-21,10.5
2020-09-16 9:39:04 AM,-4,4,-22,10.5
2020-09-16 9:39:06 AM,-7,7,-21,10.5
2020-09-16 9:39:08 AM,-6,5,-21,10.5
2020-09-16 9:39:10 AM,-7,9,-23,10.5
2020-09-16 9:39:12 AM,-8,6,-22,10.5
2020-09-16 9:39:14 AM,-3,5,-23,10.5
2020-09-16 9:39:16 AM,-3,5,-21,10.5
2020-09-16 9:39:18 AM,-4,4,-21,10.5
2020-09-16 9:39:20 AM,-2,4,-23,10.5
2020-09-16 9:39:22 AM,-3,5,-22,10.5
2020-09-16 9:39:24 AM,-2,3,-23,10.5
2020-09-16 9:39:26 AM,-1,5,-23,10.5
2020-09-16 9:39:28 AM,-1,2,-23,10.5
2020-09-16 9:39:30 AM,-2,7,-22,10.5
2020-09-16 9:39:32 AM,-1,4,-23,10.5
2020-09-16 9:39:34 AM,-1,-2,-22,10.5
2020-09-16 9:39:36 AM,-2,2,-24,10.5
