GMT,X,Y,Z,Temperature
2023-11-25 11:32,-5,4,-24,11
2023-11-25 11:32,-7,6,-21,11
2023-11-25 11:32,-6,4,-20,11
2023-11-25 11:32,-4,1,-21,11
2023-11-25 11:32,-5,0,-23,11
2023-11-25 11:32,-4,4,-24,11
2023-11-25 11:32,-3,3,-22,11
2023-11-25 11:32,-4,3,-23,11
2023-11-25 11:32,-5,1,-21,11
2023-11-25 11:32,-4,3,-23,11
2023-11-25 11:32,-5,5,-22,11
2023-11-25 11:32,-7,2,-21,11
2023-11-25 11:32,-4,0,-23,11
2023-11-25 11:32,-3,1,-24,11
2023-11-25 11:32,-6,2,-21,11
2023-11-25 11:32,-2,2,-23,11
2023-11-25 11:32,-5,5,-21,11
2023-11-25 11:32,-6,3,-21,11
2023-11-25 11:33,-4,-1,-23,11
2023-11-25 11:33,-3,3,-23,11
2023-11-25 11:33,-1,1,-22,11
2023-11-25 11:33,-5,1,-23,11
2023-11-25 11:33,-1,1,-23,11
2023-11-25 11:33,-5,2,-22,11
2023-11-25 11:33,-4,2,-22,11
2023-11-25 11:33,-4,2,-22,11
2023-11-25 11:33,-6,3,-22,11
2023-11-25 11:33,-1,0,-24,11
2023-11-25 11:33,-4,3,-24,11
2023-11-25 11:33,-6,3,-20,11
2023-11-25 11:33,-4,-2,-26,11
2023-11-25 11:33,-3,-1,-23,11
2023-11-25 11:33,-4,4,-23,11
2023-11-25 11:33,-5,2,-21,11
2023-11-25 11:33,-7,2,-23,11
2023-11-25 11:33,-4,3,-21,11
2023-11-25 11:33,-5,3,-22,11
2023-11-25 11:33,-6,2,-22,11
2023-11-25 11:33,-7,3,-20,11
2023-11-25 11:33,-4,5,-21,11
2023-11-25 11:33,-2,2,-22,11
2023-11-25 11:33,-5,3,-25,11
2023-11-25 11:33,-4,0,-24,11
2023-11-25 11:33,-2,0,-23,11
2023-11-25 11:33,-4,2,-23,11
2023-11-25 11:33,-5,2,-22,11
2023-11-25 11:33,-5,3,-22,11
2023-11-25 11:33,-5,3,-23,11
2023-11-25 11:34,0,3,-22,11
2023-11-25 11:34,-3,2,-23,11
2023-11-25 11:34,-2,4,-22,11
2023-11-25 11:34,-1,2,-22,11
2023-11-25 11:34,-2,2,-23,11
2023-11-25 11:34,-4,1,-22,11
2023-11-25 11:34,-4,4,-24,11
2023-11-25 11:34,-6,1,-22,11
2023-11-25 11:34,-5,2,-21,11
2023-11-25 11:34,-6,4,-21,11
2023-11-25 11:34,-6,2,-22,11
2023-11-25 11:34,-6,2,-21,11
2023-11-25 11:34,-4,3,-23,11
2023-11-25 11:34,-4,0,-23,11
2023-11-25 11:34,-5,3,-25,11
2023-11-25 11:34,-4,3,-22,11
2023-11-25 11:34,-1,4,-22,11
2023-11-25 11:34,-3,5,-23,11
2023-11-25 11:34,-4,2,-24,11
2023-11-25 11:34,-2,5,-22,11
2023-11-25 11:34,-5,4,-22,11
2023-11-25 11:34,-5,3,-24,11
2023-11-25 11:34,-2,2,-21,11
2023-11-25 11:34,-1,2,-22,11
2023-11-25 11:34,-5,3,-22,11
2023-11-25 11:34,-7,4,-23,11
2023-11-25 11:34,-2,-1,-21,11
2023-11-25 11:34,0,-3,-23,11
2023-11-25 11:34,-3,-7,-23,11
2023-11-25 11:34,-3,1,-22,11
2023-11-25 11:35,-4,3,-23,11
2023-11-25 11:35,-4,2,-22,11
2023-11-25 11:35,-5,6,-22,11
2023-11-25 11:35,-2,3,-24,11
2023-11-25 11:35,-4,1,-22,11
2023-11-25 11:35,-2,3,-24,11
2023-11-25 11:35,-4,6,-22,11
2023-11-25 11:35,-7,5,-22,11
2023-11-25 11:35,-4,4,-23,11
2023-11-25 11:35,-1,6,-22,11
2023-11-25 11:35,-2,1,-22,11
2023-11-25 11:35,-1,2,-23,10.5
2023-11-25 11:35,-3,4,-23,10.5
2023-11-25 11:35,-6,3,-21,10.5
2023-11-25 11:35,-2,3,-23,10.5
2023-11-25 11:35,-3,4,-22,10.5
2023-11-25 11:35,-2,6,-23,10.5
2023-11-25 11:35,-4,5,-23,10.5
2023-11-25 11:35,-3,6,-22,10.5
2023-11-25 11:35,-4,4,-23,10.5
2023-11-25 11:35,-7,8,-22,10.5
2023-11-25 11:35,-6,6,-22,10.5
2023-11-25 11:35,-6,7,-22,10.5
2023-11-25 11:35,-4,5,-21,10.5
2023-11-25 11:35,-6,5,-22,10.5
2023-11-25 11:35,-4,3,-24,10.5
2023-11-25 11:35,-8,6,-21,11
2023-11-25 11:35,-5,4,-23,11
2023-11-25 11:35,-3,4,-23,11
2023-11-25 11:35,-3,4,-23,11
2023-11-25 11:36,-2,5,-23,11
2023-11-25 11:36,0,3,-23,11
2023-11-25 11:36,-2,4,-22,11
2023-11-25 11:36,-5,7,-22,11
2023-11-25 11:36,0,3,-22,11
2023-11-25 11:36,-6,7,-19,11
2023-11-25 11:36,-7,5,-22,11
2023-11-25 11:36,-6,4,-21,11
2023-11-25 11:36,-1,3,-23,11
2023-11-25 11:36,-3,4,-22,11
2023-11-25 11:36,-4,4,-22,11
2023-11-25 11:36,-4,5,-22,10.5
2023-11-25 11:36,-3,2,-21,10.5
2023-11-25 11:36,-2,3,-23,10.5
2023-11-25 11:36,-2,-1,-22,10.5
2023-11-25 11:36,-1,1,-23,10.5
2023-11-25 11:36,-3,3,-24,10.5
2023-11-25 11:36,-4,3,-22,10.5
2023-11-25 11:36,-2,4,-25,10.5
2023-11-25 11:36,-2,5,-23,10.5
2023-11-25 11:36,0,0,-24,10.5
2023-11-25 11:36,-1,3,-23,10.5
2023-11-25 11:36,-4,3,-22,10.5
2023-11-25 11:36,-3,2,-22,10.5
2023-11-25 11:36,-7,5,-22,10.5
2023-11-25 11:36,-2,3,-23,10.5
2023-11-25 11:36,-1,6,-21,10.5
2023-11-25 11:36,-4,6,-21,10.5
2023-11-25 11:36,-6,5,-22,10.5
2023-11-25 11:36,-5,4,-21,10.5
2023-11-25 11:37,0,3,-22,10.5
2023-11-25 11:37,-3,4,-22,10.5
2023-11-25 11:37,-1,7,-22,10.5
2023-11-25 11:37,-2,5,-22,10.5
2023-11-25 11:37,-4,5,-22,10.5
2023-11-25 11:37,-4,7,-22,10.5
2023-11-25 11:37,-4,3,-24,10.5
2023-11-25 11:37,-1,3,-24,10.5
2023-11-25 11:37,-5,5,-22,10.5
2023-11-25 11:37,-4,5,-22,10.5
2023-11-25 11:37,-4,5,-22,10.5
2023-11-25 11:37,-4,5,-21,10.5
2023-11-25 11:37,-6,4,-21,10.5
2023-11-25 11:37,-4,5,-23,10.5
2023-11-25 11:37,-4,3,-21,10.5
2023-11-25 11:37,-3,2,-22,10.5
2023-11-25 11:37,0,1,-22,10.5
2023-11-25 11:37,-1,3,-23,10.5
2023-11-25 11:37,-3,2,-23,10.5
2023-11-25 11:37,-7,6,-21,10.5
2023-11-25 11:37,-1,1,-22,10.5
2023-11-25 11:37,-2,1,-23,10.5
2023-11-25 11:37,-2,4,-19,10.5
2023-11-25 11:37,-8,4,-21,10.5
2023-11-25 11:37,-3,2,-24,10.5
2023-11-25 11:37,0,1,-23,10.5
2023-11-25 11:37,-5,4,-24,10.5
2023-11-25 11:37,-4,2,-23,10.5
2023-11-25 11:37,1,1,-24,10.5
2023-11-25 11:37,-3,4,-23,10.5
2023-11-25 11:38,-2,3,-23,10.5
2023-11-25 11:38,-3,4,-21,10.5
2023-11-25 11:38,-3,3,-23,10.5
2023-11-25 11:38,-1,1,-22,10.5
2023-11-25 11:38,-8,6,-22,10.5
2023-11-25 11:38,-4,5,-22,10.5
