Start,Stop,Proximity ID,Session,RSSI
2020-06-19 4:02,2020-06-19 4:03,30385,42,-58
2020-06-19 4:04,2020-06-19 4:04,30384,12,-27
2020-06-19 4:06,2020-06-19 4:07,30388,6,5
2020-06-19 4:12,2020-06-19 4:12,30387,0,-69
2020-06-19 4:12,2020-06-19 4:12,30385,9,-17
2020-06-19 4:13,2020-06-19 4:14,30387,70,-56
2020-06-19 4:14,2020-06-19 4:15,30384,88,-55
2020-06-19 4:16,2020-06-19 4:16,30387,27,-55
2020-06-19 4:16,2020-06-19 4:17,30388,60,-64
2020-06-19 4:16,2020-06-19 4:17,30390,34,-55
2020-06-19 4:18,2020-06-19 4:20,30384,142,-69
2020-06-19 4:19,2020-06-19 4:19,30387,25,-19
2020-06-19 4:21,2020-06-19 4:21,30387,12,1
2020-06-19 4:23,2020-06-19 4:24,30387,51,1
2020-06-19 4:25,2020-06-19 4:25,30384,0,-86
2020-06-19 4:28,2020-06-19 4:28,30384,0,-82
2020-06-19 4:26,2020-06-19 4:29,30387,217,-72
2020-06-19 4:29,2020-06-19 4:29,30389,0,-74
2020-06-19 4:32,2020-06-19 4:33,30387,56,-21
2020-06-19 4:34,2020-06-19 4:34,30387,13,-26
2020-06-19 4:36,2020-06-19 4:37,30387,73,-54
2020-06-19 4:35,2020-06-19 4:38,30389,174,-72
2020-06-19 4:38,2020-06-19 4:38,30387,0,-82
2020-06-19 4:39,2020-06-19 4:39,30387,9,-20
2020-06-19 4:39,2020-06-19 4:41,30389,81,-58
2020-06-19 4:41,2020-06-19 4:41,30387,0,-81
2020-06-19 4:45,2020-06-19 4:45,30389,0,-82
2020-06-19 4:46,2020-06-19 4:46,30385,33,-41
2020-06-19 4:47,2020-06-19 4:47,30387,0,-85
2020-06-19 4:49,2020-06-19 4:50,30390,52,-29
2020-06-19 4:49,2020-06-19 4:49,30388,6,9
2020-06-19 4:49,2020-06-19 4:50,30389,25,48
2020-06-19 4:51,2020-06-19 4:53,30389,79,-55
2020-06-19 4:54,2020-06-19 4:54,30389,0,-82
2020-06-19 4:55,2020-06-19 4:56,30381,84,-64
2020-06-19 4:55,2020-06-19 4:55,30389,27,-39
2020-06-19 4:59,2020-06-19 4:59,30389,0,-82
2020-06-19 5:00,2020-06-19 5:00,30386,0,-82
2020-06-19 5:02,2020-06-19 5:04,30385,153,-68
2020-06-19 5:03,2020-06-19 5:04,30387,63,-67
2020-06-19 5:05,2020-06-19 5:07,30384,145,-65
2020-06-19 5:06,2020-06-19 5:08,30385,121,-67
2020-06-19 5:08,2020-06-19 5:09,30386,86,-43
2020-06-19 5:08,2020-06-19 5:09,30389,63,-59
2020-06-19 5:08,2020-06-19 5:11,30387,156,-66
2020-06-19 5:11,2020-06-19 5:11,30385,0,-80
2020-06-19 5:13,2020-06-19 5:14,30385,66,-57
2020-06-19 5:14,2020-06-19 5:14,30387,15,-19
2020-06-19 5:16,2020-06-19 5:17,30387,21,1
2020-06-19 5:14,2020-06-19 5:18,30386,209,-68
2020-06-19 5:20,2020-06-19 5:21,30388,53,-39
2020-06-19 5:15,2020-06-19 5:22,30389,418,-75
2020-06-19 5:22,2020-06-19 5:22,30390,0,-84
